Galaxy,Sequence Number,HI Hole Type,Classification
NGC4214,1,3,Clumpy
NGC4214,2,1,Diffuse
NGC4214,3,1,No Coverage
NGC4214,4,2,Diffuse
NGC4214,5,1,Diffuse
NGC4214,6,1,Clumpy
NGC4214,7,1,Diffuse
NGC4214,8,1,No Emission
NGC4214,9,1,Clumpy
NGC4214,10,1,Clumpy
NGC4214,11,3,Clumpy
NGC4214,12,1,Diffuse
NGC4214,13,2,Diffuse
NGC4214,14,1,No Emission
NGC4214,15,1,Diffuse
NGC4214,16,1,No Coverage
NGC4214,17,2,No Emission
NGC4214,18,2,No Emission
NGC4214,19,1,Clumpy
NGC4214,20,1,No Coverage
NGC4214,21,1,Clumpy
